"target","MCDIp"
"a",0.731277533039648
"about",0.3215859030837
"above",0.312775330396476
"after",0.568281938325991
"airplane",0.964757709251101
"all",0.762114537444934
"alligator",0.814977973568282
"am",0.60352422907489
"an",0.237885462555066
"and",0.726872246696035
"animal",0.859030837004405
"ankle",0.54625550660793
"another",0.651982378854626
"ant",0.863436123348018
"any",0.563876651982379
"apple",0.982378854625551
"applesauce",0.832599118942731
"are",0.60352422907489
"arm",0.977973568281938
"around",0.54625550660793
"asleep",0.885462555066079
"at",0.638766519823789
"aunt",0.748898678414097
"awake",0.837004405286344
"away",0.731277533039648
"baby",0.982378854625551
"babysitter",0.427312775330396
"back",0.819383259911894
"backyard",0.753303964757709
"bad",0.876651982378855
"ball",0.991189427312775
"balloon",0.986784140969163
"banana",0.969162995594714
"basement",0.215859030837004
"basket",0.837004405286344
"bat",0.744493392070485
"bath",0.977973568281938
"bathroom",0.920704845814978
"bathtub",0.933920704845815
"be",0.480176211453745
"beach",0.718061674008811
"beads",0.599118942731278
"beans",0.850220264317181
"bear",0.951541850220264
"because",0.488986784140969
"bed",0.973568281938326
"bedroom",0.876651982378855
"bee",0.933920704845815
"before",0.39647577092511
"behind",0.621145374449339
"belt",0.806167400881057
"bench",0.449339207048458
"beside",0.290748898678414
"better",0.775330396475771
"bib",0.819383259911894
"bicycle",0.964757709251101
"big",0.955947136563877
"bird",0.982378854625551
"bite",0.911894273127753
"black",0.832599118942731
"blanket",0.955947136563877
"block",0.933920704845815
"blow",0.885462555066079
"blue",0.898678414096916
"boat",0.951541850220264
"book",0.973568281938326
"boots",0.859030837004405
"bottle",0.94273127753304
"bowl",0.951541850220264
"box",0.92511013215859
"boy",0.92511013215859
"bread",0.960352422907489
"break",0.929515418502203
"breakfast",0.872246696035242
"bring",0.757709251101322
"broken",0.933920704845815
"broom",0.881057268722467
"brother",0.634361233480176
"brown",0.779735682819383
"brush",0.92511013215859
"bubbles",0.982378854625551
"bucket",0.801762114537445
"bug",0.933920704845815
"build",0.788546255506608
"bump",0.770925110132159
"bunny",0.933920704845815
"bus",0.964757709251101
"but",0.383259911894273
"butter",0.872246696035242
"butterfly",0.920704845814978
"buttocks",0.92511013215859
"button",0.92511013215859
"buy",0.766519823788546
"by",0.616740088105727
"bye",0.982378854625551
"cake",0.94273127753304
"call",0.86784140969163
"camera",0.841409691629956
"camping",0.330396475770925
"can",0.753303964757709
"candy",0.94273127753304
"car",0.986784140969163
"careful",0.819383259911894
"carrots",0.907488986784141
"carry",0.837004405286344
"cat",0.960352422907489
"catch",0.850220264317181
"cereal",0.938325991189427
"chair",0.960352422907489
"chalk",0.687224669603524
"chase",0.665198237885463
"cheek",0.872246696035242
"cheerios",0.872246696035242
"cheese",0.973568281938326
"chicken",0.916299559471366
"child",0.39647577092511
"chin",0.863436123348018
"chocolate",0.872246696035242
"church",0.757709251101322
"circus",0.475770925110132
"clap",0.898678414096916
"clean",0.920704845814978
"climb",0.837004405286344
"clock",0.903083700440529
"close",0.881057268722467
"closet",0.828193832599119
"cloud",0.832599118942731
"clown",0.766519823788546
"coat",0.903083700440529
"cockadoodledoo",0.757709251101322
"coffee",0.806167400881057
"coke",0.643171806167401
"cold",0.977973568281938
"comb",0.86784140969163
"cook",0.832599118942731
"cookie",0.982378854625551
"corn",0.903083700440529
"couch",0.86784140969163
"could",0.299559471365639
"country",0.211453744493392
"cover",0.687224669603524
"cow",0.951541850220264
"cowboy",0.502202643171806
