id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
1003895,2729,1,3222,33,I don't understand,3,I do understand,pro:sub mod v,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,4,eng
1003908,2729,2,3222,33,what do you want,4,what do you want,pro:int mod pro:per v,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,4,eng
1003947,2729,4,3222,33,ball,1,ball,n,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,1,eng
1003961,2729,5,3222,33,oh oh,2,oh oh,co co,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
1003978,2729,6,3222,33,your chair,2,your chair,det:poss n,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
1004000,2729,7,3222,33,that's what you need,4,that what you need,pro:dem pro:int pro:per v,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,5,eng
1004019,2729,8,3222,33,okay here we go,4,okay here we go,co adv pro:sub v,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,4,eng
1004084,2729,12,3222,33,yeh that's a Smurf isn't it,6,yeh that a Smurf be it,co pro:dem det:art n:prop cop pro:per,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,9,eng
1004138,2729,14,3222,33,hold it,2,hold it,v pro:per,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,2,eng
1004153,2729,15,3222,33,okay I'll hold it,4,okay I hold it,co pro:sub v pro:per,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,5,eng
1004176,2729,16,3222,33,you want me to open that,6,you want me to open that,pro:per v pro:obj inf adj pro:dem,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,6,eng
1004221,2729,18,3222,33,open,1,open,adj,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,1,eng
1004234,2729,19,3222,33,oh you can get it open,6,oh you can get it open,co pro:per mod aux pro:per adj,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,6,eng
1004292,2729,22,3222,33,pink,1,pink,adj,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
1004312,2729,23,3222,33,I don't think there's any pink in there but you can look,12,I do think there any pink in there but you can look,pro:sub mod v pro:exist qn n prep adv conj pro:per mod v,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,14,eng
1004370,2729,24,3222,33,what's that red,3,what that red,pro:int pro:dem adj,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,4,eng
1004403,2729,26,3222,33,what's that,2,what that,pro:int pro:dem,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,3,eng
1004421,2729,27,3222,33,it's a camera,3,it a camera,pro:per det:art n,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,4,eng
1004466,2729,29,3222,33,camera yeha camera taking your pictures,6,camera yeah camera take your picture,n co n part det:poss n,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,8,eng
1004501,2729,30,3222,33,do you know that,4,do you know that,mod pro:per v pro:dem,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,4,eng
1004551,2729,33,3222,33,Garfield,1,Garfield,n:prop,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,1,eng
1004562,2729,34,3222,33,right there,2,right there,adv adv,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
1004590,2729,36,3222,33,uhhuh,1,uhhuh,co,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
1004611,2729,38,3222,33,here okay,2,here okay,adv adj,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
1004637,2729,40,3222,33,you're welcome,2,you welcome,pro:per adj,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,3,eng
1004653,2729,41,3222,33,you're coloring pretty,3,you color pretty,pro:per part adv,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,5,eng
1004688,2729,43,3222,33,yeh abc,2,yeh abc,co n,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
1004708,2729,44,3222,33,a green crayon,3,a green crayon,det:art adj n,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,3,eng
1004729,2729,46,3222,33,green isn't it,3,green be it,n cop pro:per,MOT,NA,Mother,2727,669.625,April,female,question,NA,NA,NA,3,Eng-NA,5,eng
1004756,2729,48,3222,33,green yeh,2,green yeh,n co,MOT,NA,Mother,2727,669.625,April,female,declarative,NA,NA,NA,3,Eng-NA,2,eng
