id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
1554554,3341,1,4330,47,xxx,1,,,UNK,Unknown,Participant,NA,NA,NA,NA,declarative,82.065,0,s,3,Eng-NA,NA,eng
1554569,3325,2,4330,47,why,1,why,adv:int,A,Andy,Participant,NA,NA,NA,NA,question,83.054,82.065,s,3,Eng-NA,1,eng
1554582,3330,3,4330,47,what,1,what,pro:int,JW,Jess,Participant,NA,NA,NA,NA,question,83.787,83.054,s,3,Eng-NA,1,eng
1554596,3325,4,4330,47,why do you need the bad guy,7,why do you need the bad guy,adv:int mod pro:per v det:art adj n,A,Andy,Participant,NA,NA,NA,NA,question,86.408,83.787,s,3,Eng-NA,7,eng
1554629,3325,5,4330,47,why,1,why,adv:int,A,Andy,Participant,NA,NA,NA,NA,question,88.367,86.408,s,3,Eng-NA,1,eng
1554645,3330,6,4330,47,because,1,because,conj,JW,Jess,Participant,NA,NA,NA,NA,declarative,89.628,88.367,s,3,Eng-NA,1,eng
1554656,3330,7,4330,47,because I had him first,5,because I have him first,conj pro:sub v pro:obj adv,JW,Jess,Participant,NA,NA,NA,NA,imperative_emphatic,92.417,89.628,s,3,Eng-NA,6,eng
1554690,3325,8,4330,47,,0,,,A,Andy,Participant,NA,NA,NA,NA,declarative,97.382,92.417,s,3,Eng-NA,NA,eng
1554703,3330,9,4330,47,,0,,,JW,Jess,Participant,NA,NA,NA,NA,declarative,99.703,97.382,s,3,Eng-NA,NA,eng
1554713,3341,10,4330,47,xxx,1,,,UNK,Unknown,Participant,NA,NA,NA,NA,declarative,140,99.703,s,3,Eng-NA,NA,eng
1554727,3335,11,4330,47,the girls aren't here,4,the girl be here,det:art n aux adv,MW,Missus_Wright,Participant,NA,NA,NA,NA,declarative,145,140,s,3,Eng-NA,7,eng
1554747,3324,12,4330,47,no,1,no,co,ME,Keith,Participant,NA,NA,NA,NA,question,146.016,145,s,3,Eng-NA,1,eng
1554760,3324,13,4330,47,oh I picked the wrong spot,6,oh I pick the wrong spot,co pro:sub v det:art adj n,ME,Keith,Participant,NA,NA,NA,NA,declarative,149.354,146.016,s,3,Eng-NA,7,eng
1554793,3335,14,4330,47,well yesterday was so busy,5,well yesterday be so busy,co adv:tem cop adv adj,MW,Missus_Wright,Participant,NA,NA,NA,NA,declarative,151.092,149.354,s,3,Eng-NA,7,eng
1554824,3329,15,4330,47,yeah xxx quite this early,5,yeah quite this early,co adv pro:dem adj,MC,Missus_Carr,Participant,NA,NA,NA,NA,declarative,155.646,151.092,s,3,Eng-NA,4,eng
1554856,3330,16,4330,47,oh it's pulling me down Mama,6,oh it pull me down Mama,co pro:per part pro:obj adv n:prop,JW,Jess,Participant,NA,NA,NA,NA,imperative_emphatic,165.478,155.646,s,3,Eng-NA,8,eng
1554891,3330,17,4330,47,help,1,help,co,JW,Jess,Participant,NA,NA,NA,NA,imperative_emphatic,169.593,165.478,s,3,Eng-NA,1,eng
1554902,3330,18,4330,47,,0,,,JW,Jess,Participant,NA,NA,NA,NA,declarative,173.314,169.593,s,3,Eng-NA,NA,eng
1554905,3341,19,4330,47,xxx,1,,,UNK,Unknown,Participant,NA,NA,NA,NA,declarative,217.235,173.314,s,3,Eng-NA,NA,eng
1554909,3336,20,4330,47,don't be afraid,3,do be afraid,mod cop adj,CH,Chanel,Participant,NA,NA,NA,NA,declarative,219.923,217.235,s,3,Eng-NA,4,eng
1554973,3336,21,4330,47,he is my pet,4,he be my pet,pro:sub cop det:poss n,CH,Chanel,Participant,NA,NA,NA,NA,declarative,221.139,219.923,s,3,Eng-NA,5,eng
1554993,3335,22,4330,47,oh,1,oh,co,MW,Missus_Wright,Participant,NA,NA,NA,NA,question,221.789,221.139,s,3,Eng-NA,1,eng
1555003,3341,23,4330,47,xxx,1,,,UNK,Unknown,Participant,NA,NA,NA,NA,declarative,256.941,221.789,s,3,Eng-NA,NA,eng
1555020,3342,24,4330,47,do ya wanna get it back in,7,do you wanna get it back in,mod pro:per mod:aux v pro:per adj adv,MX,Parent,Participant,NA,NA,NA,NA,question,258.796,256.941,s,3,Eng-NA,7,eng
1555057,3342,25,4330,47,here,1,here,adv,MX,Parent,Participant,NA,NA,NA,NA,declarative,259.479,258.796,s,3,Eng-NA,1,eng
1555076,3342,26,4330,47,oh yeah you should leave it in here Jessica,9,oh yeah you should leave it in here Jessica,co co pro:per mod v pro:per prep adv n:prop,MX,Parent,Participant,NA,NA,NA,NA,declarative,262.683,259.479,s,3,Eng-NA,9,eng
1555120,3342,27,4330,47,Jess,1,Jess,n:prop,MX,Parent,Participant,NA,NA,NA,NA,question,268.525,262.683,s,3,Eng-NA,1,eng
1555131,3342,28,4330,47,Jessie this Jessie xxx,4,Jessie Jessie,n:prop n:prop,MX,Parent,Participant,NA,NA,NA,NA,declarative,273.636,268.525,s,3,Eng-NA,2,eng
1555154,3330,29,4330,47,xxx,1,,,JW,Jess,Participant,NA,NA,NA,NA,declarative,276.424,273.636,s,3,Eng-NA,NA,eng
1555169,3342,30,4330,47,well you got it,4,well you get it,co pro:per v pro:per,MX,Parent,Participant,NA,NA,NA,NA,declarative,277.34,276.424,s,3,Eng-NA,5,eng
1555196,3342,31,4330,47,ya know he's still playing with xxx,7,you know he still play with,pro:per v pro:sub adv part prep,MX,Parent,Participant,NA,NA,NA,NA,declarative,279.845,277.34,s,3,Eng-NA,8,eng
1555233,3326,32,4330,47,can I have a xxx,5,can I have a,mod pro:sub v det:art,B,Ben,Participant,NA,NA,NA,NA,question,282.999,279.845,s,3,Eng-NA,4,eng
1555260,3342,33,4330,47,well then you can each have one,7,well then you can each have one,co adv:tem pro:per mod qn v pro:indef,MX,Parent,Participant,NA,NA,NA,NA,declarative,285.06,282.999,s,3,Eng-NA,7,eng
1555297,3342,34,4330,47,no don't be standing here,5,no do be stand here,co mod aux part adv,MX,Parent,Participant,NA,NA,NA,NA,declarative,305.749,285.06,s,3,Eng-NA,7,eng
1555326,3342,35,4330,47,let's try xxx,3,let try,v v,MX,Parent,Participant,NA,NA,NA,NA,declarative,310.031,305.749,s,3,Eng-NA,3,eng
1555346,3338,36,4330,47,Mom,1,Mom,n:prop,SC,Scott,Participant,NA,NA,NA,NA,imperative_emphatic,311.475,310.031,s,3,Eng-NA,1,eng
1555365,3331,37,4330,47,let's build something,3,let build something,v v pro:indef,KN,Ken,Participant,NA,NA,NA,NA,declarative,318.598,311.475,s,3,Eng-NA,4,eng
1555389,3331,38,4330,47,here,1,here,adv,KN,Ken,Participant,NA,NA,NA,NA,declarative,329.998,318.598,s,3,Eng-NA,1,eng
1555397,3338,39,4330,47,he here Joshua,3,here Joshua,adv n:prop,SC,Scott,Participant,NA,NA,NA,NA,imperative_emphatic,334.269,329.998,s,3,Eng-NA,2,eng
1555421,3338,40,4330,47,he got to me,4,he get to me,pro:sub v prep pro:obj,SC,Scott,Participant,NA,NA,NA,NA,imperative_emphatic,368.021,334.269,s,3,Eng-NA,5,eng
1555442,3330,41,4330,47,Chanel,1,Chanel,n:prop,JW,Jess,Participant,NA,NA,NA,NA,question,368.771,368.021,s,3,Eng-NA,1,eng
1555460,3336,42,4330,47,yeah,1,yeah,co,CH,Chanel,Participant,NA,NA,NA,NA,imperative_emphatic,369.771,368.771,s,3,Eng-NA,1,eng
1555472,3330,43,4330,47,xxx let's go make xxx,5,let go make,v v v,JW,Jess,Participant,NA,NA,NA,NA,declarative,373.053,369.771,s,3,Eng-NA,4,eng
1555505,3336,44,4330,47,is the food ready,4,be the food ready,cop det:art n adj,CH,Chanel,Participant,NA,NA,NA,NA,question,377.845,373.053,s,3,Eng-NA,5,eng
1555528,3330,45,4330,47,huh,1,huh,co,JW,Jess,Participant,NA,NA,NA,NA,question,378.956,377.845,s,3,Eng-NA,1,eng
1555540,3330,46,4330,47,wait wait wait,3,wait wait wait,v v v,JW,Jess,Participant,NA,NA,NA,NA,declarative,380.883,378.956,s,3,Eng-NA,3,eng
1555563,3335,47,4330,47,xxx you wanna chair,4,you wanna chair,pro:per mod:aux n,MW,Missus_Wright,Participant,NA,NA,NA,NA,question,382.806,380.883,s,3,Eng-NA,3,eng
1555588,3330,48,4330,47,wait,1,wait,co,JW,Jess,Participant,NA,NA,NA,NA,imperative_emphatic,384.25,382.806,s,3,Eng-NA,1,eng
1555608,3343,49,4330,47,you have to put this back down,7,you have to put this back down,pro:per v inf v det:dem adj adv,JO,Joshua,Participant,NA,NA,NA,NA,declarative,395.003,384.25,s,3,Eng-NA,8,eng
1555651,3343,50,4330,47,woah,1,woah,co,JO,Joshua,Participant,NA,NA,NA,NA,declarative,396.303,395.003,s,3,Eng-NA,1,eng
1555670,3343,51,4330,47,put it down,3,put it down,v pro:per adv,JO,Joshua,Participant,NA,NA,NA,NA,declarative,400.201,396.303,s,3,Eng-NA,4,eng
1555693,3336,52,4330,47,down,1,down,adv,CH,Chanel,Participant,NA,NA,NA,NA,declarative,401.595,400.201,s,3,Eng-NA,1,eng
1555709,3330,53,4330,47,okay that's enough that's enough,5,okay that enough that enough,co pro:dem adv pro:dem adv,JW,Jess,Participant,NA,NA,NA,NA,declarative,405.838,401.595,s,3,Eng-NA,7,eng
1555748,3341,54,4330,47,xxx,1,,,UNK,Unknown,Participant,NA,NA,NA,NA,declarative,424.038,405.838,s,3,Eng-NA,NA,eng
1555761,3338,55,4330,47,what about xxx,3,what about,pro:int adv,SC,Scott,Participant,NA,NA,NA,NA,question,425.815,424.038,s,3,Eng-NA,2,eng
1555796,3328,56,4330,47,what,1,what,pro:int,KF,Katie_F,Participant,NA,NA,NA,NA,question,426.315,425.815,s,3,Eng-NA,1,eng
1555811,3338,57,4330,47,what about two men xxx,5,what about two man,pro:int adv det:num n,SC,Scott,Participant,NA,NA,NA,NA,question,428.443,426.315,s,3,Eng-NA,5,eng
1555839,3339,58,4330,47,how about right here,4,how about right here,adv:int adv adv adv,E,Eric,Participant,NA,NA,NA,NA,declarative,437.335,428.443,s,3,Eng-NA,4,eng
1555870,3330,59,4330,47,come move your xxx,4,come move your,v v det:poss,JW,Jess,Participant,NA,NA,NA,NA,declarative,442.633,437.335,s,3,Eng-NA,3,eng
1555895,3339,60,4330,47,xxx over here,3,over here,adv adv,E,Eric,Participant,NA,NA,NA,NA,declarative,453.136,442.633,s,3,Eng-NA,2,eng
1555921,3339,61,4330,47,putting in xxx the back,5,put in the back,part prep det:art n,E,Eric,Participant,NA,NA,NA,NA,declarative,459.606,453.136,s,3,Eng-NA,5,eng
1555946,3329,62,4330,47,good,1,good,adj,MC,Missus_Carr,Participant,NA,NA,NA,NA,declarative,461.848,459.606,s,3,Eng-NA,1,eng
1555953,3335,63,4330,47,,0,,,MW,Missus_Wright,Participant,NA,NA,NA,NA,declarative,463.192,461.848,s,3,Eng-NA,NA,eng
1555958,3325,64,4330,47,I don't need one,4,I do need one,pro:sub mod v pro:indef,A,Andy,Participant,NA,NA,NA,NA,declarative,468.24,463.192,s,3,Eng-NA,5,eng
1555982,3325,65,4330,47,I don't want one,4,I do want one,pro:sub mod v pro:indef,A,Andy,Participant,NA,NA,NA,NA,declarative,470.412,468.24,s,3,Eng-NA,5,eng
