id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
1244552,3138,2,3759,39,okay,1,okay,co,MOM,NA,Mother,3136,597.3125,Emily,female,declarative,10.031,8.439,s,3,Eng-NA,1,eng
1244577,3138,4,3759,39,do you have to be changed Emma,7,do you have to be change Emma,mod pro:per v inf aux part n:prop,MOM,NA,Mother,3136,597.3125,Emily,female,question,15.33,13.708,s,3,Eng-NA,8,eng
1244628,3138,6,3759,39,okay,1,okay,co,MOM,NA,Mother,3136,597.3125,Emily,female,declarative,19.941,18.759,s,3,Eng-NA,1,eng
1244694,3137,11,3759,39,okay we'll change your diaper,5,okay we change your diaper,co pro:sub v det:poss n,DAD,NA,Father,3136,597.3125,Emily,female,declarative,998.163,987.563,s,3,Eng-NA,6,eng
1244713,3137,12,3759,39,and we can put some medicine on,7,and we can put some medicine on,coord pro:sub mod v qn n adv,DAD,NA,Father,3136,597.3125,Emily,female,declarative,1007.439,998.163,s,3,Eng-NA,8,eng
1244738,3138,13,3759,39,Daddy said you had hardly any juice,7,Daddy say you have hard any juice,n:prop v pro:per v adv qn n,MOM,NA,Mother,3136,597.3125,Emily,female,declarative,1041.371,1035.485,s,3,Eng-NA,11,eng
1244767,3138,14,3759,39,up you go,3,up you go,adv pro:per v,MOM,NA,Mother,3136,597.3125,Emily,female,declarative,1078.509,1076.57,s,3,Eng-NA,3,eng
1244791,3138,15,3759,39,the bird want the snakes,5,the bird want the snake,det:art n v det:art n,MOM,NA,Mother,3136,597.3125,Emily,female,question,1102.406,1101.141,s,3,Eng-NA,6,eng
1244812,3138,16,3759,39,what would the bird do with the snakes,8,what will the bird do with the snake,pro:int mod det:art n v prep det:art n,MOM,NA,Mother,3136,597.3125,Emily,female,question,1104.113,1102.406,s,3,Eng-NA,10,eng
1244841,3138,18,3759,39,okay you can have a sip and you can go to sleep,12,okay you can have a sip and you can go to sleep,co pro:per mod v det:art n coord pro:per mod v prep n,MOM,NA,Mother,3136,597.3125,Emily,female,declarative,1134.647,1131.304,s,3,Eng-NA,12,eng
1244875,3137,19,3759,39,Daddy's not saying anything,4,Daddy not say anything,n:prop neg part pro:indef,DAD,NA,Father,3136,597.3125,Emily,female,declarative,NA,NA,NA,3,Eng-NA,6,eng
1244886,3137,20,3759,39,he's just looking at your math uh your picture while you're drinking your juice,14,he just look at your picture while you drink your juice,pro:sub adv part prep det:poss n conj pro:per part det:poss n,DAD,NA,Father,3136,597.3125,Emily,female,declarative,1174.8,1167.613,s,3,Eng-NA,15,eng
1244937,3138,21,3759,39,oh you think so when you wake up is that what you're going to want,15,oh you think so when you wake up be that what you go to want,co pro:per v co conj pro:per v adv cop pro:dem pro:int pro:per part inf v,MOM,NA,Mother,3136,597.3125,Emily,female,question,1233.935,1230.87,s,3,Eng-NA,18,eng
1244996,3137,23,3759,39,night night sweetie I love you,6,night night sweetie I love you,n n co pro:sub v pro:per,DAD,NA,Father,3136,597.3125,Emily,female,declarative,1275.459,1273.533,s,3,Eng-NA,6,eng
1245082,3137,28,3759,39,well you can go upstairs and see Grandma tomorrow Hon,10,well you can go upstairs and see Grandma tomorrow Hon,co pro:per mod v adv coord v n:prop adv:tem n:prop,DAD,NA,Father,3136,597.3125,Emily,female,declarative,1476.94,1473.979,s,3,Eng-NA,10,eng
1245118,3137,29,3759,39,we'll go on the third floor tomorrow,7,we go on the third floor tomorrow,pro:sub v prep det:art n n adv:tem,DAD,NA,Father,3136,597.3125,Emily,female,declarative,1479.064,1476.94,s,3,Eng-NA,8,eng
1245145,3138,30,3759,39,Honey are you going to put your dinosaur in your bed,11,Honey be you go to put your dinosaur in your bed,n:prop aux pro:per part inf v det:poss n prep det:poss n,MOM,NA,Mother,3136,597.3125,Emily,female,question,1481.444,1479.064,s,3,Eng-NA,14,eng
