id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
3313512,5119,2,7569,73,where,1,where,adv:int,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,1,eng
3313524,5119,4,7569,73,oh,1,oh,co,CLI,NA,Clinician,5118,1948,Aimee,female,imperative_emphatic,NA,NA,NA,3,Eng-NA,1,eng
3313531,5119,5,7569,73,you're right,2,you right,pro:per n,CLI,NA,Clinician,5118,1948,Aimee,female,imperative_emphatic,NA,NA,NA,3,Eng-NA,3,eng
3313544,5119,6,7569,73,should we check to see if there's any bubble gum inside,11,should we check to see if there any bubble gum inside,mod pro:sub v inf v conj pro:exist qn n n adv,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,12,eng
3313575,5119,8,7569,73,why don't you get it for me,7,why do you get it for me,adv:int mod pro:per v pro:per prep pro:obj,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,8,eng
3313605,5119,10,7569,73,can you open it,4,can you open it,mod pro:per v pro:per,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,4,eng
3313645,5119,13,7569,73,are you,2,be you,cop pro:per,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,3,eng
3313653,5119,14,7569,73,okay,1,okay,co,CLI,NA,Clinician,5118,1948,Aimee,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
3313660,5119,15,7569,73,lift this up,3,lift this up,v pro:dem adv,CLI,NA,Clinician,5118,1948,Aimee,female,declarative,NA,NA,NA,3,Eng-NA,3,eng
3313694,5119,17,7569,73,here put it on the table and we twist,9,here put it on the table and we twist,adv v pro:per prep det:art n coord pro:sub v,CLI,NA,Clinician,5118,1948,Aimee,female,declarative,NA,NA,NA,3,Eng-NA,10,eng
3313722,5119,19,7569,73,whoa,1,whoa,co,CLI,NA,Clinician,5118,1948,Aimee,female,imperative_emphatic,NA,NA,NA,3,Eng-NA,1,eng
3313727,5119,20,7569,73,want to put it back in and you try,9,want to put it back in and you try,v inf v pro:per adj adv coord pro:per v,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,10,eng
3313773,5119,22,7569,73,right,1,right,co,CLI,NA,Clinician,5118,1948,Aimee,female,declarative,NA,NA,NA,3,Eng-NA,1,eng
3313795,5119,23,7569,73,where did it go,4,where do it go,adv:int mod pro:per v,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,5,eng
3313804,5119,24,7569,73,oops here we go okay now,6,oops here we go okay now,co adv pro:sub v co adv,CLI,NA,Clinician,5118,1948,Aimee,female,imperative_emphatic,NA,NA,NA,3,Eng-NA,6,eng
3313832,5119,26,7569,73,do you think she could blow bubbles,7,do you think she could blow bubble,mod pro:per v pro:sub mod n n,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,8,eng
3313864,5119,29,7569,73,why don't we wait awhile because what would happen if it got stuck on her tooth,16,why do we wait awhile because what will happen if it get stick on her tooth,adv:int mod pro:sub v adv conj pro:int mod v conj pro:per aux part prep det:poss n,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,20,eng
3313894,5119,31,7569,73,what would happen,3,what will happen,pro:int mod v,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,4,eng
3313906,5119,33,7569,73,hold your hand underneath like this whoops ups almost,9,hold your hand underneath like this whoop up almost,v det:poss n adv prep pro:dem n prep adv,CLI,NA,Clinician,5118,1948,Aimee,female,declarative,NA,NA,NA,3,Eng-NA,10,eng
3313918,5119,34,7569,73,now you hold your hand under there you go,9,now you hold your hand under there you go,adv pro:per v det:poss n adv adv pro:per v,CLI,NA,Clinician,5118,1948,Aimee,female,imperative_emphatic,NA,NA,NA,3,Eng-NA,9,eng
3313942,5119,36,7569,73,wouldn't you like to eat it,6,will you like to eat it,mod pro:per v inf v pro:per,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,8,eng
3313971,5119,38,7569,73,okay here you go,4,okay here you go,co adv pro:per v,CLI,NA,Clinician,5118,1948,Aimee,female,declarative,NA,NA,NA,3,Eng-NA,4,eng
3313980,5119,39,7569,73,how about if we put it back,7,how about if we put it back,adv:int adv conj pro:sub v pro:per adv,CLI,NA,Clinician,5118,1948,Aimee,female,question,NA,NA,NA,3,Eng-NA,8,eng
