id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
1493355,3252,1,4236,45,xxx Rach,2,Rach,n:prop,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1493370,3252,2,4236,45,you wanted me to see who Jeffy is,8,you want me to see who Jeffy be,pro:per v pro:obj inf v pro:int n:prop cop,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,10,eng
1493408,3248,3,4236,45,yeah,1,yeah,co,RAC,Rachel,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1493418,3252,4,4236,45,and he's gonna sit right there right,7,and he gonna sit right there right,coord pro:sub mod:aux v adv adv n,VIR,Virginia,Investigator,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,8,eng
1493464,3248,5,4236,45,that's my Mommy,3,that my Mommy,pro:dem co n:prop,RAC,Rachel,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
1493486,3252,6,4236,45,can I sit and watch you eat today,8,can I sit and watch you eat today,mod pro:sub v coord v pro:per v adv:tem,VIR,Virginia,Investigator,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,8,eng
1493531,3259,7,4236,45,my my Daddy just left,5,my Daddy just leave,det:poss n:prop adv v,MAT,Matthew,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,5,eng
1493557,3252,8,4236,45,did he,2,do he,v pro:sub,VIR,Virginia,Investigator,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
1493575,3248,9,4236,45,good thing all the little ones sit here,8,good thing all the little one sit here,adj n qn det:art adj pro:indef v adv,RAC,Rachel,Child,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,9,eng
1493617,3252,10,4236,45,right,1,right,co,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1493629,3252,11,4236,45,they'll all fit won't they,5,they all fit will they,pro:sub adv v mod pro:sub,VIR,Virginia,Investigator,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,8,eng
1493652,3248,12,4236,45,no,1,no,co,RAC,Rachel,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1493664,3248,13,4236,45,I mean mean little kids say the funny things,9,I mean little kid say the fun thing,pro:sub v adj n v det:art adj n,RAC,Rachel,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,12,eng
1493706,3252,14,4236,45,,0,,,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1493718,3246,15,4236,45,Erin you sit over here today hon,7,Erin you sit over here today hon,n:prop pro:per v adv adv adv:tem n,BOB,Bobbi,Adult,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,7,eng
1493758,3246,16,4236,45,right here,2,right here,adv adv,BOB,Bobbi,Adult,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
1493772,3252,17,4236,45,that looks good,3,that look good,pro:rel v adj,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
1493799,3252,18,4236,45,mm,1,mm,co,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1493809,3248,19,4236,45,sorry that Eric doesn't sit here because he he's a little too,12,sorry that Eric do sit here because he a little too,adj pro:rel n:prop mod v adv conj pro:sub det:art adj adv,RAC,Rachel,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,14,eng
1493856,3252,20,4236,45,that's okay Rach,3,that okay Rach,pro:dem adj n:prop,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
1493874,3248,21,4236,45,see,1,see,v,RAC,Rachel,Child,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1493889,3248,22,4236,45,did you hear that,4,do you hear that,mod pro:per v pro:dem,RAC,Rachel,Child,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,5,eng
1493914,3252,23,4236,45,yeah,1,yeah,co,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1493926,3252,24,4236,45,that's okay,2,that okay,pro:dem adj,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
1493950,3248,25,4236,45,at least three little kids,5,at least three little kid,prep n det:num adj n,RAC,Rachel,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,6,eng
1493978,3252,26,4236,45,boy that looks good,4,boy that look good,co pro:rel v adj,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,5,eng
1494023,3252,28,4236,45,good,1,good,adj,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1494034,3246,29,4236,45,okay you guys can go ahead and eat when you're ready okay,12,okay you guy can go ahead and eat when you ready okay,co pro:per n mod v adv coord v conj pro:per adj adj,BOB,Bobbi,Adult,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,14,eng
1494157,3252,31,4236,45,hi,1,hi,co,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1494175,3252,32,4236,45,how are you,3,how be you,adv:int aux pro:per,VIR,Virginia,Investigator,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,4,eng
1494240,3252,35,4236,45,mm,1,mm,co,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1494254,3252,36,4236,45,good,1,good,adj,VIR,Virginia,Investigator,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
