id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
3052485,4847,1,6973,67,what's that,2,what that,pro:int pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
3052495,4846,2,6973,67,yyy,1,,,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
3052502,4847,3,6973,67,it's a chicken,3,it a chicken,pro:per det:art n,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
3052519,4846,4,6973,67,yeah,1,yeah,co,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3052529,4847,5,6973,67,yeah,1,yeah,co,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3052549,4847,6,6973,67,what's this,2,what this,pro:int pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
3052563,4847,7,6973,67,what is that,3,what be that,pro:int cop pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,4,eng
3052581,4846,8,6973,67,yyy,1,,,CHI,NA,Child,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,NA,eng
3052593,4847,9,6973,67,it's a woof+woof,3,it a,pro:per det:art,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
3052607,4846,10,6973,67,yeah,1,yeah,co,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3052616,4847,11,6973,67,yeah,1,yeah,co,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3052624,4846,12,6973,67,xxx woof,2,woof,on,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3052631,4847,13,6973,67,it's a woof+woof,3,it a,pro:per det:art,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
3052645,4847,14,6973,67,what's this,2,what this,pro:int pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
3052667,4847,15,6973,67,a chicken,2,a chicken,det:art n,MOT,NA,Mother,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,2,eng
3052680,4846,16,6973,67,,0,,,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
3052685,4847,17,6973,67,what's this,2,what this,pro:int pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
3052697,4846,18,6973,67,hat,1,hat,n,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3052700,4847,19,6973,67,is that a hat,4,be that a hat,cop pro:rel det:art n,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,5,eng
3052731,4846,20,6973,67,yeah,1,yeah,co,CHI,NA,Child,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,1,eng
3052737,4847,21,6973,67,yeah,1,yeah,co,MOT,NA,Mother,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,1,eng
3052745,4846,22,6973,67,yyy,1,,,CHI,NA,Child,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,NA,eng
3052762,4847,23,6973,67,huh,1,huh,co,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
3052769,4847,24,6973,67,oh look at that,4,oh look at that,co v prep pro:dem,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
3052790,4847,25,6973,67,there's a picnic table,4,there a picnic table,pro:exist det:art n n,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,5,eng
3052803,4847,26,6973,67,and you can sit some people down here,8,and you can sit some person down here,coord pro:per mod v qn n adv adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,9,eng
3052836,4846,27,6973,67,hey,1,hey,co,CHI,NA,Child,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,1,eng
3052852,4846,28,6973,67,aht,1,aht,int,CHI,NA,Child,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,1,eng
3052860,4846,29,6973,67,ow,1,ow,co,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
3052875,4847,30,6973,67,hoo_hoo_hoo_hoo_hoo,1,hoo_hoo_hoo_hoo_hoo,on,MOT,NA,Mother,NA,NA,NA,NA,imperative_emphatic,NA,NA,NA,3,Eng-NA,1,eng
3052882,4847,31,6973,67,I don't know,3,I do know,pro:sub mod v,MOT,NA,Mother,NA,NA,NA,NA,trail off,NA,NA,NA,3,Eng-NA,4,eng
3052902,4847,32,6973,67,what's this,2,what this,pro:int pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
3052912,4847,33,6973,67,a ladder I guess,4,a ladder I guess,det:art n pro:sub v,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
3052932,4846,34,6973,67,,0,,,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
3052939,4847,35,6973,67,,0,,,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
3052947,4846,36,6973,67,,0,,,CHI,NA,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
3052951,4847,37,6973,67,can you take him out,5,can you take him out,mod pro:per v pro:obj adv,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,5,eng
3052971,4847,38,6973,67,boom_boom_boom_boom,1,boom_boom_boom_boom,on,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
