id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
1329245,3164,1,4051,43,up,1,up,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329250,3165,2,4051,43,up,1,up,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329261,3164,3,4051,43,,0,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329263,3165,4,4051,43,there,1,there,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329273,3164,5,4051,43,chair,1,chair,n,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329287,3165,6,4051,43,chair,1,chair,n,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329304,3164,7,4051,43,away,1,away,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329318,3165,8,4051,43,away,1,away,adv,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329332,3164,9,4051,43,chair,1,chair,n,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329341,3165,10,4051,43,chair,1,chair,n,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329349,3164,11,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329359,3165,12,4051,43,down,1,down,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329367,3164,13,4051,43,ehwideh,1,ehwideh,chi,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329379,3164,14,4051,43,there,1,there,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329382,3165,15,4051,43,what's that,2,what that,pro:int pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
1329393,3165,16,4051,43,what,1,what,pro:int,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329397,3164,17,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329405,3164,18,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329414,3165,19,4051,43,you see lights,3,you see light,pro:per v n,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,4,eng
1329431,3165,20,4051,43,you see a light,4,you see a light,pro:per v det:art n,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,4,eng
1329440,3164,21,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329447,3164,22,4051,43,Dada,1,Dada,n:prop,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329455,3165,23,4051,43,Dada,1,Dada,n:prop,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329459,3165,24,4051,43,where's Dada,2,where Dada,adv:int n:prop,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
1329474,3164,25,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329484,3164,26,4051,43,Dada wideh,2,Dada wideh,n:prop chi,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
1329512,3165,27,4051,43,Dada working,2,Dada work,n:prop part,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
1329525,3164,28,4051,43,Mama,1,Mama,n:prop,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329534,3165,29,4051,43,where's Mama,2,where Mama,adv:int n:prop,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
1329540,3164,30,4051,43,there,1,there,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329543,3164,31,4051,43,there,1,there,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329551,3165,32,4051,43,there,1,there,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329559,3164,33,4051,43,Mama wideh,2,Mama wideh,n:prop chi,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
1329568,3164,34,4051,43,there,1,there,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329576,3165,35,4051,43,what's that,2,what that,pro:int pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
1329586,3164,36,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329594,3165,37,4051,43,that's a microphone,3,that a microphone,pro:dem det:art n,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
1329605,3164,38,4051,43,oh,1,oh,co,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329617,3164,39,4051,43,no,1,no,co,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329625,3164,40,4051,43,no,1,no,co,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329633,3165,41,4051,43,no,1,no,co,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329648,3165,42,4051,43,that's a wire right,4,that a wire right,pro:dem det:art n n,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,5,eng
1329662,3165,43,4051,43,we don't play with wires do we,7,we do play with wire do we,pro:sub mod v prep n mod pro:sub,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,9,eng
1329685,3164,44,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329694,3165,45,4051,43,down,1,down,adv,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329700,3165,46,4051,43,careful,1,careful,co,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329711,3164,47,4051,43,more xxx,2,more,pro:indef,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329724,3165,48,4051,43,more,1,more,pro:indef,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329730,3164,49,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329738,3164,50,4051,43,there,1,there,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329747,3164,51,4051,43,there,1,there,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329756,3165,52,4051,43,there,1,there,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329767,3164,53,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329779,3165,54,4051,43,down,1,down,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329786,3164,55,4051,43,ehwideh,1,ehwideh,chi,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329807,3165,56,4051,43,Allison,1,Allison,n:prop,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329812,3164,57,4051,43,,0,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329816,3165,58,4051,43,what is this,3,what be this,pro:int cop pro:dem,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,4,eng
1329836,3165,59,4051,43,chair,1,chair,n,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329846,3165,60,4051,43,yes,1,yes,co,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329856,3164,61,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329863,3164,62,4051,43,chair,1,chair,n,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329869,3164,63,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329877,3165,64,4051,43,down,1,down,adv,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329885,3164,65,4051,43,,0,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329891,3165,66,4051,43,down,1,down,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329899,3164,67,4051,43,up,1,up,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329907,3164,68,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329915,3164,69,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329924,3165,70,4051,43,you sit down,3,you sit down,pro:per v adv,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,3,eng
1329936,3164,71,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329946,3164,72,4051,43,away,1,away,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329955,3165,73,4051,43,away,1,away,adv,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1329965,3164,74,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329973,3164,75,4051,43,xxx,1,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1329981,3164,76,4051,43,away,1,away,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329987,3164,77,4051,43,chair,1,chair,n,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1329995,3164,78,4051,43,uh oh down,3,oh down,co adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
1330012,3164,79,4051,43,down,1,down,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1330020,3165,80,4051,43,down,1,down,adv,MOT,NA,Mother,NA,NA,NA,NA,question,NA,NA,NA,3,Eng-NA,1,eng
1330030,3164,81,4051,43,,0,,,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
1330038,3165,82,4051,43,down,1,down,adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1330042,3164,83,4051,43,up,1,up,adv,CHI,Allison,Child,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
1330056,3165,84,4051,43,let's see what kind of toys we brought today,9,let see what kind of toy we bring today,v v pro:int n prep n pro:sub v adv:tem,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,12,eng
1330086,3165,85,4051,43,let's see what's in here,5,let see what in here,v v pro:int prep adv,MOT,NA,Mother,NA,NA,NA,NA,declarative,NA,NA,NA,3,Eng-NA,7,eng
