id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
2576533,4085,1,6558,57,kitty that's right kitty,4,kitty that right kitty,n pro:rel adj n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,5,eng
2576549,4085,2,6558,57,kitty say it again love kitty,6,kitty say it again love kitty,n v pro:per adv n n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,6,eng
2576563,4085,3,6558,57,yyy,1,,,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,NA,eng
2576579,4085,6,6558,57,what's that,2,what that,pro:int pro:dem,MOT,NA,Mother,4084,455.125,Naomi,NA,question,NA,NA,NA,3,Eng-NA,3,eng
2576580,4085,7,6558,57,what's that,2,what that,pro:int pro:dem,MOT,NA,Mother,4084,455.125,Naomi,NA,question,NA,NA,NA,3,Eng-NA,3,eng
2576581,4085,8,6558,57,kitty,1,kitty,n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
2576582,4085,9,6558,57,yyy do you want more milk honey,7,do you want more milk honey,mod pro:per v qn n n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,6,eng
2576606,4085,10,6558,57,no okay,2,no okay,co co,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576618,4085,11,6558,57,oh look lovey,3,oh look lovey,co co n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
2576629,4085,12,6558,57,bird,1,bird,n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
2576637,4085,13,6558,57,birdie,1,bird,n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576664,4085,16,6558,57,kitty kitty doggie,3,kitty kitty dog,n n n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
2576679,4085,17,6558,57,doggie dog,2,dog dog,n n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
2576699,4085,19,6558,57,doggie,1,dog,n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576706,4085,20,6558,57,Nomi what does the doggie say,6,Nomi what do the dog say,n:prop det:int v det:art n v,MOT,NA,Mother,4084,455.125,Naomi,NA,question,NA,NA,NA,3,Eng-NA,8,eng
2576726,4085,21,6558,57,what does the doggie say,5,what do the dog say,pro:int v det:art n v,MOT,NA,Mother,4084,455.125,Naomi,NA,question,NA,NA,NA,3,Eng-NA,7,eng
2576744,4085,22,6558,57,woof woof,2,woof woof,on on,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576756,4085,23,6558,57,woof woof,2,woof woof,on on,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576767,4085,24,6558,57,woof woof,2,woof woof,on on,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576779,4085,25,6558,57,woof woof,2,woof woof,on on,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576790,4085,26,6558,57,woof say woof woof,4,woof say woof woof,on co on on,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
2576821,4085,28,6558,57,woof woof,2,woof woof,on on,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576842,4085,30,6558,57,doggie,1,dog,n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
2576851,4085,31,6558,57,doggie see camel,3,dog see camel,n v n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
2576872,4085,32,6558,57,camel,1,camel,n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
2576905,4085,35,6558,57,little baby birdie,3,little baby bird,adj n n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
2576926,4085,36,6558,57,baby birdie,2,baby bird,n n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
2576957,4085,38,6558,57,you don't like that one,5,you do like that one,pro:per mod v pro:dem pro:indef,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,6,eng
2576978,4085,39,6558,57,okay,1,okay,co,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
2576985,4085,40,6558,57,okay,1,okay,co,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
2576995,4085,41,6558,57,Mommy take this out,4,Mommy take this out,n:prop v pro:dem adv,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
2577020,4085,42,6558,57,okay Mommy take this out,5,okay Mommy take this out,co n:prop v pro:dem adv,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,5,eng
2577034,4085,43,6558,57,cow,1,cow,n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
2577044,4085,44,6558,57,the cow says moo moo,5,the cow say moo moo,det:art n v on on,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,6,eng
2577068,4085,45,6558,57,the cow cow,3,the cow cow,det:art n n,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,3,eng
2577095,4085,47,6558,57,you don't like that one either,6,you do like that one either,pro:per mod v pro:dem pro:indef adv,MOT,NA,Mother,4084,455.125,Naomi,NA,question,NA,NA,NA,3,Eng-NA,7,eng
2577109,4085,48,6558,57,you want to give that one to me,8,you want to give that one to me,pro:per v inf v pro:dem pro:indef prep pro:obj,MOT,NA,Mother,4084,455.125,Naomi,NA,question,NA,NA,NA,3,Eng-NA,8,eng
2577132,4085,49,6558,57,okay,1,okay,co,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,1,eng
2577143,4085,50,6558,57,I'll take him,3,I take him,pro:sub v pro:obj,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,4,eng
2577158,4085,51,6558,57,take him,2,take him,v pro:obj,MOT,NA,Mother,4084,455.125,Naomi,NA,declarative,NA,NA,NA,3,Eng-NA,2,eng
