id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
2416687,3878,1,6120,54,you have a what,4,you have a what,pro:per v det:art pro:int,INV,Alison,Investigator,3877,1223.5,Matthew,male,question,NA,NA,NA,3,Eng-NA,4,eng
2416718,3878,2,6120,54,what's in that,3,what in that,pro:int prep pro:dem,INV,Alison,Investigator,3877,1223.5,Matthew,male,question,NA,NA,NA,3,Eng-NA,4,eng
2416760,3878,4,6120,54,oh those are blocks,4,oh those be block,co pro:dem cop n,INV,Alison,Investigator,3877,1223.5,Matthew,male,declarative,NA,NA,NA,3,Eng-NA,6,eng
2416802,3878,5,6120,54,and what else is in there,6,and what else be in there,coord pro:int post aux adv adv,INV,Alison,Investigator,3877,1223.5,Matthew,male,question,NA,NA,NA,3,Eng-NA,7,eng
2416835,3878,6,6120,54,it looks like a,4,it look like a,pro:per v prep det:art,INV,Alison,Investigator,3877,1223.5,Matthew,male,trail off,NA,NA,NA,3,Eng-NA,5,eng
2416885,3878,8,6120,54,oh Legos,2,oh Legos,co n:prop,INV,Alison,Investigator,3877,1223.5,Matthew,male,declarative,NA,NA,NA,3,Eng-NA,2,eng
2416914,3878,9,6120,54,you like Legos don't you,5,you like Legos do you,pro:per v n:prop mod pro:per,INV,Alison,Investigator,3877,1223.5,Matthew,male,question,NA,NA,NA,3,Eng-NA,6,eng
2416948,3878,11,6120,54,I like Legos to build a big big buildings right,10,I like Legos to build a big big building right,pro:sub v n:prop inf v det:art adj adj n n,INV,Alison,Investigator,3877,1223.5,Matthew,male,declarative,NA,NA,NA,3,Eng-NA,11,eng
2416995,3878,12,6120,54,what else can you build with Legos,7,what else can you build with Legos,pro:int post mod pro:per v prep n:prop,INV,Alison,Investigator,3877,1223.5,Matthew,male,question,NA,NA,NA,3,Eng-NA,7,eng
2417082,3878,14,6120,54,with what,2,with what,prep pro:int,INV,Alison,Investigator,3877,1223.5,Matthew,male,question,NA,NA,NA,3,Eng-NA,2,eng
2417130,3878,16,6120,54,you can build Santa Claus with Legos,7,you can build Santa Claus with Legos,pro:per mod v n:prop n:prop prep n:prop,INV,Alison,Investigator,3877,1223.5,Matthew,male,question,NA,NA,NA,3,Eng-NA,7,eng
