id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language
3155370,5066,1,7167,70,you haven't seen this,4,you have see this,pro:per aux part pro:dem,MOT,NA,Mother,5065,365.25,NA,male,declarative,7.755,0,s,3,Eng-NA,6,eng
3155399,5066,2,7167,70,that looks pretty cool,4,that look pretty cool,pro:rel v adv adj,MOT,NA,Mother,5065,365.25,NA,male,declarative,9.175,7.755,s,3,Eng-NA,5,eng
3155418,5066,3,7167,70,do you know how to work that,7,do you know how to work that,mod pro:per v adv:int inf v pro:dem,MOT,NA,Mother,5065,365.25,NA,male,declarative,12,9.175,s,3,Eng-NA,7,eng
3155453,5066,4,7167,70,yes you do,3,yes you do,co pro:per v,MOT,NA,Mother,5065,365.25,NA,male,declarative,13.405,12,s,3,Eng-NA,3,eng
3155466,5066,5,7167,70,you have on kind of similar at home don't you,10,you have on kind of similar at home do you,pro:per v prep n prep adj prep n mod pro:per,MOT,NA,Mother,5065,365.25,NA,male,declarative,15.858,13.405,s,3,Eng-NA,11,eng
3155502,5066,6,7167,70,look at the train,4,look at the train,v prep det:art n,MOT,NA,Mother,5065,365.25,NA,male,declarative,17.966,15.858,s,3,Eng-NA,4,eng
3155524,5066,7,7167,70,the train's going round and round,6,the train go round and round,det:art n part adv coord adv,MOT,NA,Mother,5065,365.25,NA,male,declarative,22.431,17.966,s,3,Eng-NA,8,eng
3155554,5066,8,7167,70,that's it push it,4,that it push it,pro:dem pro:per n pro:per,MOT,NA,Mother,5065,365.25,NA,male,declarative,26.541,22.431,s,3,Eng-NA,5,eng
3155575,5066,9,7167,70,you can push that button,5,you can push that button,pro:per mod v pro:dem n,MOT,NA,Mother,5065,365.25,NA,male,declarative,28.52,26.541,s,3,Eng-NA,5,eng
3155598,5066,10,7167,70,yay yay,2,yay yay,co co,MOT,NA,Mother,5065,365.25,NA,male,declarative,33.743,28.52,s,3,Eng-NA,2,eng
3155605,5066,11,7167,70,you gonna see what else is in there well pull something out,12,you gonna see what else be in there well pull something out,pro:per mod:aux v pro:int post aux adv adv adv v pro:indef adv,MOT,NA,Mother,5065,365.25,NA,male,declarative,36.523,33.743,s,3,Eng-NA,13,eng
3155663,5066,12,7167,70,oh,1,oh,co,MOT,NA,Mother,5065,365.25,NA,male,declarative,37.923,36.523,s,3,Eng-NA,1,eng
